date,price_TCSG,volume_TCSG,log_return_TCSG,volatility_TCSG
2023-05-31,3317.5,435975,-0.0033102648343957698,0.029430903639259844
2023-06-01,3287.0,289674,-0.009236192542143173,0.02899894047661545
2023-06-02,3337.0,255974,0.015096905087154623,0.029006526138235737
2023-06-05,3224.0,352830,-0.034449375124855075,0.0302821664145587
2023-06-06,3248.0,359612,0.007416597655049619,0.030148807919796468
2023-06-07,3281.0,244075,0.010108831679533057,0.029332551691708172
2023-06-08,3349.5,301658,0.02066282698722052,0.028804258867985977
2023-06-09,3337.5,532377,-0.003589057239817244,0.02884795831569856
2023-06-13,3434.0,301686,0.028503738748915913,0.02842916972988005
2023-06-14,3553.0,516695,0.03406655456360627,0.028062560077822974
2023-06-15,3542.5,829171,-0.002959624456191536,0.027947318973086877
2023-06-16,3533.3,16220,-0.002600414139550912,0.0279506549890607
2023-06-16,3518.0,267956,-0.004339632127781176,0.027352887185342217
2023-06-19,3463.0,388731,-0.015757380895081573,0.022837500682248733
2023-06-20,3404.5,325502,-0.017037179479400668,0.022749579568465773
