date,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2020-05-08,125.53,42,0.005992587147476814,0.015658042522192748
2020-05-12,128.3,20542660,0.009475774727611793,0.015289681794133116
2020-05-13,127.06,39,-0.004162582095264629,0.014687203485411592
2020-05-14,118.88,33,-0.06827480306008239,0.020249344671754432
2020-05-15,114.4,17,-0.017846787463276247,0.020739502797741678
2020-05-18,115.91,28506770,0.020394640997098826,0.020234313854457453
2020-05-19,114.4,11916470,0.0009620010361908411,0.020260512377093816
2020-05-20,116.68,15,0.023499889131876926,0.02089819601578826
2020-05-21,116.41,24,0.005253877121254822,0.019375484812828834
2020-05-22,113.56,10,-0.01563965301499216,0.0191292000274875
2020-05-25,115.98,6275940,0.013104982517909643,0.019556117772586687
2020-05-26,115.25,22,-0.012331463122762874,0.019125724917840512
2020-05-27,116.05,28,0.006223548482598621,0.01933869603074106
2020-05-28,115.99,54,0.012143440055427935,0.012833982778537253
2020-05-29,114.29,12953460,-0.009578617297069773,0.011555128434362417
2020-06-01,114.42,9287040,-0.013024409172044218,0.011308558329697347
2020-06-02,115.5,17276130,0.0130720815673527,0.011283314678148833
2020-06-03,119.02,15,0.038192843004370376,0.013303860332296727
2020-06-04,116.69,28,-0.015223324141527429,0.013668630770985147
2020-06-05,117.47,6,-0.00788574061411075,0.01345233424023536
2020-06-08,116.66,11432790,-0.01379097365878494,0.013564457998368959
2020-06-09,116.77,21,-0.018160716361863886,0.014501343353451832
2020-06-10,117.14,6,0.018002984180261465,0.015397888540721194
2020-06-11,117.99,11,0.02202222582900733,0.016043679354345017
2020-06-15,116.24,11594730,0.0016358865415814848,0.016302694805634496
2020-06-16,116.13,9804110,0.008995822277266611,0.015997848062988197
2020-06-17,117.06,13,-0.011466554479790505,0.016527172797129955
2020-06-18,116.28,25,0.01106894732742508,0.014660994341915453
2020-06-19,116.0,25,0.0072677253623896505,0.014515655990909083
2020-06-22,115.21,11,-0.003984759257348015,0.013897092335851092
2020-06-23,118.86,9,0.024356138832149928,0.01412132150258513
2020-06-25,114.87,13341950,-0.004603299916686403,0.014748075881332782
2020-06-26,113.25,32,-0.02183492860320007,0.014701970360328906
2020-06-29,116.68,25,0.02833740241363881,0.01481248073088102
2020-06-30,112.0,28,-0.012422519998557209,0.016220577138880386
2020-07-02,116.68,26,0.029837380636377298,0.01713681969679177
2020-07-03,117.74,9,0.014285346219584003,0.01677669491044218
2020-07-06,118.99,19538970,0.024243096023158342,0.017592813211607206
2020-07-07,122.51,23113700,0.02070091652403323,0.01809724515817946
2020-07-08,122.49,27,-0.002934704967594025,0.018049549961335596
2020-07-09,126.31,23,0.030791451436455643,0.018497607557034935
2020-07-10,124.3,16,0.0023357910019843795,0.017507700059413434
2020-07-13,123.83,20,-0.02093731588896697,0.017672056228581718
2020-07-14,124.54,28,0.004022855212057612,0.016754980670622286
2020-07-15,125.69,10243660,0.006145025521868366,0.01443882755685443
2020-07-16,121.42,10,-0.03948359308359594,0.016410002208153588
2020-07-17,125.0,4,-0.0027163074942283057,0.017475086671140214
2020-07-20,128.82,8,0.027146715990810914,0.017224395059857803
2020-07-21,124.62,6,-0.010377677553017167,0.017864307329339774
2020-07-22,126.2,7,0.01267909015233666,0.018032239736535983
2020-07-23,126.8,21,0.003317800657816331,0.01668084033636363
2020-07-24,128.2,7869710,0.021604561817972504,0.016977144238375857
2020-07-27,131.76,17,0.022488380065951365,0.016429460444897265
2020-07-28,133.0,25,0.007547205635382904,0.01645810144158922
2020-07-29,133.49,10,0.013044482798256284,0.016846192724594495
2020-07-30,133.94,27,-0.00037323181861261435,0.013616462229109207
2020-07-31,134.01,17,0.016932338162752053,0.013181069534140796
2020-08-03,138.86,21218900,0.04123916827917355,0.014954304018703094
2020-08-04,140.55,16592550,0.013826920862702392,0.013328093978999821
2020-08-05,147.98,31,0.06260319636671301,0.018796204251124587
