date,price_TCSG,volume_TCSG,log_return_TCSG,volatility_TCSG,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2022-04-13,3172.0,91974,-0.014086944484287739,0.09785838178791557,99.32,1289640,-0.001810683524581252,0.04717988535573033
2022-04-14,3010.0,199860,-0.05242222501181719,0.09786243975971233,93.5,2003520,-0.12519459889210327,0.0521932515373515
2022-04-15,2993.0,138519,-0.005663849890222439,0.09766120625453645,92.91,10,-0.02382331108893746,0.04150877885893315
2022-04-18,2722.0,250731,-0.0949093246412875,0.09849098494870157,93.0,10,-0.006964935736841628,0.04008966601189357
2022-04-19,2540.0,635173,-0.06920282319882909,0.09836611451436177,89.99,14,-0.009511241796323025,0.037004039702939466
2022-04-20,2590.0,442030,0.019493794681001132,0.09871082993699226,92.96,18,0.042409958626837434,0.03856931654054118
2022-04-21,2485.0,204087,-0.041385216162854364,0.05024694011508285,91.0,3,-0.016241024049318604,0.03820601902147439
2022-04-22,2270.0,320227,-0.09049282805528075,0.05319180152471454,90.99,1,0.0051787896032628785,0.03825359104652771
2022-04-25,1908.0,458348,-0.1737242584672165,0.06398945330274869,88.0,1221450,-0.02302825714375859,0.038359174274109904
2022-04-26,2073.0,424633,0.08294126042754779,0.06707424367480974,90.99,5,0.0,0.03793249992970583
2022-04-27,2520.0,778716,0.19526206806968935,0.08018107730632523,94.18,17,0.03654855920816101,0.03748096343430789
2022-04-28,2700.0,1268080,0.06899287148695142,0.0776679787485184,94.78,16,0.016274358015517423,0.019618743313834255
2022-04-29,2608.0,628679,-0.03466812894587683,0.07636470501142946,94.28,7,0.019276673143863072,0.019752489092163983
2022-05-04,2402.0,358736,-0.08228192040661476,0.07638821046797156,98.94,3,0.04284968733461227,0.02174717880726214
2022-05-05,2453.0,258831,0.021010041618560345,0.07696704159151951,91.21,1106190,0.0035145560613879627,0.02878696876388986
2022-05-06,2304.0,270586,-0.0626650224427075,0.077561541022414,90.27,789570,-0.008164211279200868,0.027033250767676133
2022-05-11,2245.5,221358,-0.02571852928798912,0.07751310846829669,89.02,13,-0.020788920542970775,0.02723544481699758
2022-05-12,2032.0,250238,-0.09990768382942027,0.07909483997206983,88.99,2,-0.0073891961823710885,0.027282788210993985
